it_tokens_2w,n.x,...3
students can,50,NA
students work,45,NA
allows students,40,NA
active learning,38,JEDI
inclusive teaching,36,JEDI
learning environment,24,JEDI
group members,21,JEDI
help students,18,JEDI
students may,18,NA
work together,18,NA
allow students,17,NA
many students,16,NA
encourages students,15,JEDI
inclusive learning,15,JEDI
community college,13,JEDI
experimental design,13,NA
encourage students,11,JEDI
lesson students,11,NA
self efficacy,11,JEDI
allowing students,10,NA
authentic research,10,JEDI
college students,10,JEDI
diverse backgrounds,10,JEDI
example students,10,NA
activity students,9,NA
among students,9,NA
cooperative learning,9,JEDI
different backgrounds,9,JEDI
diverse perspectives,9,JEDI
provides students,9,NA
students feel,9,JEDI
accommodate students,8,JEDI
collaborative learning,8,JEDI
group member,8,JEDI
inclusive classroom,8,JEDI
public health,8,JEDI
student engagement,8,JEDI
students also,8,NA
students worked,8,NA
work collaboratively,8,JEDI
assessment questions,7,NA
classroom environment,7,JEDI
engaging students,7,JEDI
formative assessments,7,NA
providing students,7,NA
students learn,7,NA
underrepresented students,7,JEDI
activities students,6,NA
ask students,6,JEDI
biological sex,6,JEDI
class students,6,NA
collaborative nature,6,JEDI
different perspectives,6,JEDI
diverse students,6,JEDI
helps students,6,JEDI
inclusive environment,6,JEDI
require students,6,NA
requires students,6,NA
scientific community,6,JEDI
social justice,6,JEDI
student teams,6,JEDI
students discuss,6,JEDI
students must,6,NA
students regardless,6,NA
students sense,6,JEDI
summative assessment,6,NA
three students,6,NA
undergraduate students,6,JEDI
universal design,6,JEDI
visual impairments,6,JEDI
african american,5,JEDI
background knowledge,5,JEDI
caucasian populations,5,JEDI
community colleges,5,JEDI
diverse student,5,JEDI
encourage instructors,5,JEDI
encouraging students,5,JEDI
engage students,5,JEDI
engages students,5,JEDI
english language,5,JEDI
feel comfortable,5,JEDI
generation students,5,JEDI
include students,5,JEDI
individual learning,5,JEDI
minority students,5,JEDI
multiple opportunities,5,JEDI
socioeconomic status,5,JEDI
students engage,5,JEDI
students including,5,NA
summative assessments,5,NA
three dimensional,5,JEDI
visual communication,5,JEDI
visually impaired,5,JEDI
achievement gap,4,JEDI
achievement gaps,4,JEDI
addition students,4,NA
also recommend,4,NA
backgrounds can,4,JEDI
can participate,4,NA
data students,4,NA
developmental biology,4,NA
diverse learning,4,JEDI
diverse ways,4,JEDI
easter eggs,4,NA
encourages participation,4,JEDI
equal access,4,JEDI
equal participation,4,JEDI
four students,4,NA
gender identity,4,JEDI
gives students,4,NA
gratitude interventions,4,JEDI
health care,4,JEDI
historically marginalized,4,JEDI
human health,4,JEDI
individual accountability,4,JEDI
individual student,4,JEDI
inherently inclusive,4,JEDI
large enrollment,4,NA
lesson engages,4,JEDI
minority serving,4,JEDI
native american,4,JEDI
open access,4,JEDI
provide opportunities,4,JEDI
research opportunities,4,JEDI
right answer,4,NA
since students,4,NA
socioeconomic diversity,4,JEDI
students academic,4,NA
students answer,4,NA
students become,4,NA
students especially,4,NA
students might,4,NA
team based,4,JEDI
time needed,4,JEDI
underrepresented minority,4,JEDI
varying backgrounds,4,JEDI
visual information,4,JEDI
academic social,3,JEDI
actively participate,3,JEDI
activity engages,3,JEDI
additionally instructors,3,NA
additionally students,3,NA
allowed students,3,NA
background identity,3,JEDI
background information,3,JEDI
classroom community,3,JEDI
collaboration among,3,JEDI
collaborative group,3,JEDI
color blindness,3,JEDI
community beyond,3,JEDI
congenital heart,3,NA
cooperative group,3,JEDI
critical thinking,3,JEDI
cultural backgrounds,3,JEDI
culturally responsive,3,JEDI
demographic information,3,JEDI
demographic variables,3,JEDI
design students,3,NA
different students,3,JEDI
disabilities can,3,JEDI
diverse array,3,JEDI
diverse cultures,3,JEDI
diverse groups,3,JEDI
diverse ideas,3,JEDI
diversity within,3,NA
economically relevant,3,JEDI
encouraging cooperation,3,JEDI
engage many,3,JEDI
ensure equal,3,JEDI
equitable participation,3,JEDI
equitable teaching,3,JEDI
expose students,3,JEDI
final assignment,3,NA
formative assessment,3,NA
furthermore students,3,NA
genetic diversity,3,NA
group interactions,3,JEDI
group students,3,JEDI
groups students,3,JEDI
growth mindset,3,NA
guide students,3,NA
hands multiple,3,NA
hearing impairments,3,JEDI
heart development,3,NA
hh students,3,JEDI
homework assignments,3,NA
human populations,3,NA
impaired students,3,JEDI
inclusive active,3,JEDI
increase accessibility,3,JEDI
individual instructor,3,JEDI
individual students,3,JEDI
individual work,3,JEDI
individual writing,3,JEDI
individually accountable,3,JEDI
learning management,3,NA
level students,3,NA
make connections,3,JEDI
many individuals,3,NA
may promote,3,NA
may struggle,3,JEDI
multiple hands,3,NA
multiple representations,3,JEDI
multiple voices,3,JEDI
non caucasian,3,JEDI
particularly helpful,3,NA
personal computers,3,NA
personal investment,3,NA
physical disabilities,3,JEDI
presentation students,3,NA
promote inclusion,3,JEDI
promote inclusive,3,JEDI
promote retention,3,NA
provide students,3,JEDI
provides opportunities,3,JEDI
public engagement,3,JEDI
public speaking,3,JEDI
really enjoy,3,JEDI
research articles,3,NA
resource management,3,NA
science particularly,3,NA
sex determination,3,NA
show students,3,NA
significant impacts,3,JEDI
stakes assessments,3,JEDI
strong public,3,NA
student achievement,3,JEDI
students across,3,NA
students complete,3,NA
students find,3,NA
students first,3,NA
students get,3,NA
students independent,3,NA
students make,3,NA
students names,3,NA
students often,3,NA
students receive,3,NA
students self,3,JEDI
students share,3,JEDI
students students,3,JEDI
students time,3,JEDI
students within,3,NA
students without,3,NA
successfully implemented,3,NA
supplementary materials,3,NA
support students,3,JEDI
supportive environment,3,JEDI
team members,3,JEDI
teamwork skills,3,JEDI
time students,3,NA
underrepresented groups,3,JEDI
varied backgrounds,3,JEDI
visual auditory,3,JEDI
visual learners,3,JEDI
visual learning,3,JEDI
visual spatial,3,JEDI
working together,3,NA
abled students,2,JEDI
academic background,2,JEDI
active engagement,2,JEDI
active experimentation,2,JEDI
active participation,2,JEDI
actively engage,2,JEDI
actively engaged,2,JEDI
activity encourages,2,JEDI
added benefit,2,NA
advanced students,2,NA
affects everyone,2,JEDI
age ethnicity,2,NA
allied health,2,JEDI
also addresses,2,NA
also diverse,2,NA
alternative assessment,2,JEDI
american association,2,NA
among members,2,JEDI
analogies encourages,2,NA
appreciate visual,2,JEDI
approach encourages,2,JEDI
approaches implemented,2,JEDI
argumentation module,2,NA
asking students,2,JEDI
asks students,2,JEDI
assessment additionally,2,NA
assigned article,2,NA
assignment also,2,NA
assignment includes,2,NA
assignment section,2,NA
attitudes toward,2,JEDI
audio visual,2,JEDI
authentic data,2,JEDI
backgrounds throughout,2,JEDI
become comfortable,2,JEDI
bioactive compounds,2,NA
biology students,2,JEDI
bird sexes,2,NA
black students,2,JEDI
blindness simulator,2,JEDI
broader community,2,JEDI
builds community,2,JEDI
can access,2,JEDI
can engage,2,JEDI
carefully designed,2,JEDI
challenged students,2,JEDI
christian holiday,2,JEDI
class participation,2,JEDI
coblis color,2,NA
collaborative effort,2,JEDI
collaborative groups,2,JEDI
collaborative process,2,JEDI
collaborative work,2,JEDI
color schemes,2,JEDI
color vision,2,JEDI
colorblindness simulator,2,JEDI
come together,2,NA
comfortable working,2,JEDI
communicate collaborate,2,JEDI
course students,2,NA
courses students,2,NA
creative autonomy,2,JEDI
creative process,2,JEDI
creative thinking,2,JEDI
culturally diverse,2,JEDI
daily lives,2,JEDI
deaf community,2,JEDI
deaf hard,2,JEDI
designing experiments,2,NA
develop camaraderie,2,JEDI
differences among,2,JEDI
different colors,2,JEDI
different cultures,2,JEDI
differently abled,2,JEDI
dimensional manipulative,2,JEDI
dimensional model,2,JEDI
disabilities additionally,2,JEDI
discourage student,2,JEDI
discussion moderator,2,JEDI
discussion students,2,JEDI
discussions students,2,JEDI
diverse group,2,JEDI
diverse identities,2,JEDI
diverse learners,2,JEDI
diverse population,2,JEDI
diverse scientists,2,JEDI
diverse set,2,NA
diversity among,2,JEDI
diversity gap,2,JEDI
diversity issues,2,JEDI
diversity statement,2,JEDI
diversity students,2,JEDI
effective teamwork,2,JEDI
electronic documents,2,NA
emphasize diverse,2,JEDI
empower students,2,JEDI
enables students,2,JEDI
enabling students,2,JEDI
encourage individual,2,JEDI
encourage participation,2,JEDI
encouraging every,2,JEDI
enforcing inclusion,2,JEDI
engaging multiple,2,JEDI
enrollment course,2,NA
enrolls students,2,NA
ensure participation,2,JEDI
environment students,2,JEDI
environmental issue,2,JEDI
environmental issues,2,JEDI
equal time,2,JEDI
equally shared,2,JEDI
ethnic diversity,2,NA
ethnically diverse,2,NA
ethnicity gender,2,NA
even students,2,NA
everyone can,2,JEDI
everyone completes,2,NA
experience students,2,NA
experiences participating,2,JEDI
experiences students,2,JEDI
experiment summary,2,NA
experimental results,2,NA
feel valued,2,JEDI
female students,2,JEDI
final assignments,2,NA
finally students,2,NA
foster participation,2,JEDI
foster productive,2,JEDI
fostering student,2,JEDI
fully participate,2,JEDI
gender geographical,2,JEDI
gender race,2,JEDI
give students,2,NA
giving students,2,NA
graduate students,2,JEDI
group assignment,2,JEDI
group part,2,NA
groups encourages,2,JEDI
groups need,2,JEDI
health disparities,2,JEDI
health insurance,2,JEDI
health issues,2,JEDI
health related,2,JEDI
healthy lifestyles,2,JEDI
heart diseases,2,NA
helping students,2,JEDI
highly adaptable,2,JEDI
highly relevant,2,JEDI
human diseases,2,JEDI
identity including,2,JEDI
identity intersect,2,JEDI
impact human,2,JEDI
implements inclusive,2,JEDI
including underrepresented,2,JEDI
including women,2,JEDI
inclusive environments,2,JEDI
inclusive nature,2,JEDI
increase inclusivity,2,JEDI
individual answers,2,NA
individual data,2,NA
individual preparation,2,NA
individual reflection,2,JEDI
individuals since,2,NA
individuals turn,2,NA
inspired lively,2,JEDI
institutions msis,2,JEDI
instructor individual,2,NA
instructor students,2,NA
instructors encourage,2,JEDI
interactive discussion,2,JEDI
internet connection,2,NA
intimidating opportunity,2,JEDI
introduces students,2,NA
introductory students,2,JEDI
invites strong,2,NA
involves cooperative,2,JEDI
journal articles,2,NA
laboratory assignment,2,NA
learning community,2,JEDI
learning needs,2,JEDI
learning opportunity,2,JEDI
learning udl,2,JEDI
less confident,2,JEDI
leverage diversity,2,JEDI
limited students,2,JEDI
literature articles,2,NA
lived experiences,2,JEDI
lively discussions,2,JEDI
living organisms,2,NA
low income,2,JEDI
make students,2,NA
management system,2,NA
many opportunities,2,JEDI
mapping experiments,2,NA
marginalized communities,2,JEDI
marginalized students,2,JEDI
material students,2,NA
maximize diversity,2,NA
may need,2,NA
mean sex,2,NA
medical team,2,JEDI
members accountable,2,JEDI
mental model,2,JEDI
muscle development,2,NA
news articles,2,NA
nine students,2,NA
non msis,2,JEDI
numerous opportunities,2,JEDI
obligations outside,2,JEDI
offer students,2,JEDI
often predominated,2,JEDI
overcoming hurdles,2,JEDI
pairs students,2,JEDI
part inspired,2,NA
participation among,2,JEDI
particular students,2,NA
particularly monitoring,2,NA
partner within,2,NA
peer interaction,2,JEDI
peer mentoring,2,JEDI
peers backgrounds,2,JEDI
personality types,2,JEDI
physical abilities,2,JEDI
preferences students,2,JEDI
prerequisite knowledge,2,JEDI
presentation anxiety,2,NA
professional backgrounds,2,JEDI
professional development,2,JEDI
promote cooperative,2,JEDI
promote inclusivity,2,JEDI
promotes diversity,2,JEDI
promotes inclusion,2,JEDI
promotes inclusive,2,JEDI
provide encouraging,2,JEDI
providing opportunities,2,JEDI
questions individually,2,NA
quieter students,2,NA
racial ethnic,2,NA
racial minorities,2,JEDI
readily accessible,2,JEDI
reading interactive,2,JEDI
reflective writing,2,JEDI
relevant examples,2,JEDI
remind students,2,NA
report students,2,NA
requiring students,2,NA
research article,2,NA
research teams,2,NA
responsive mentoring,2,JEDI
risk assessment,2,JEDI
safe environment,2,JEDI
screen reader,2,JEDI
screen readers,2,JEDI
semester students,2,NA
sessions students,2,NA
setting students,2,NA
several inclusive,2,NA
sexual determination,2,NA
shows students,2,NA
significant barriers,2,JEDI
simulator students,2,NA
skills particularly,2,NA
small collaborative,2,JEDI
societal barriers,2,NA
socio scientific,2,JEDI
sort students,2,NA
space students,2,NA
specifically students,2,JEDI
strongly recommend,2,NA
student abilities,2,JEDI
student backgrounds,2,JEDI
student individually,2,JEDI
student interest,2,JEDI
student interests,2,JEDI
student isolation,2,JEDI
student participates,2,JEDI
students access,2,JEDI
students analyze,2,JEDI
students aware,2,JEDI
students collect,2,NA
students come,2,NA
students compare,2,NA
students connected,2,JEDI
students curiosity,2,NA
students design,2,NA
students develop,2,NA
students earn,2,NA
students enrolled,2,NA
students examine,2,NA
students explain,2,NA
students form,2,NA
students formed,2,NA
students know,2,NA
students majoring,2,NA
students need,2,NA
students one,2,NA
students outside,2,NA
students participated,2,NA
students particularly,2,NA
students perform,2,NA
students present,2,NA
students promotes,2,NA
students schedules,2,NA
students see,2,NA
students select,2,NA
students socioeconomic,2,NA
students take,2,NA
students think,2,NA
students thrive,2,NA
students ugtas,2,NA
students understand,2,NA
students used,2,NA
students using,2,NA
students vary,2,NA
students via,2,NA
successfully complete,2,NA
successfully completed,2,NA
successfully participate,2,NA
support inclusive,2,NA
symbolically significant,2,NA
teaching environment,2,NA
though students,2,NA
traditionally underrepresented,2,NA
transfer map,2,NA
unbiased call,2,NA
underrepresented backgrounds,2,NA
underrepresented student,2,NA
underserved students,2,NA
unique element,2,NA
upon students,2,NA
upper division,2,NA
use authentic,2,NA
used successfully,2,NA
various backgrounds,2,NA
verbal linguistic,2,NA
videos hands,2,NA
vision deficiency,2,NA
voices heard,2,NA
walking transects,2,NA
way students,2,NA
ways individual,2,NA
white students,2,NA
work individually,2,NA
works together,2,NA
writing assignments,2,NA
aaas encourages,1,NA
abilities experimental,1,NA
abilities match,1,NA
academic backgrounds,1,NA
academic stories,1,NA
academic strengths,1,NA
access barriers,1,NA
access discussion,1,NA
access faculty,1,NA
access information,1,NA
access sample,1,NA
access see,1,NA
access services,1,NA
access several,1,NA
access software,1,NA
access species,1,NA
accesses far,1,NA
accessibility finally,1,NA
accessible areas,1,NA
accessible classroom,1,NA
accessible due,1,NA
accessible however,1,NA
accessible indoor,1,NA
accommodating different,1,NA
accommodating students,1,NA
accommodating visual,1,NA
accommodations available,1,NA
accommodators perceived,1,NA
accomplished using,1,NA
accomplishments builds,1,NA
accountabilityand positive,1,NA
achievement levels,1,NA
acknowledge diverse,1,NA
acknowledges diversity,1,NA
across diverse,1,NA
across neighborhoods,1,NA
across personality,1,NA
across racial,1,NA
active inquiry,1,NA
active listening,1,NA
active strategies,1,NA
active student,1,NA
actively contribute,1,NA
actively encourages,1,NA
actively participating,1,NA
actively working,1,NA
activities address,1,NA
activities engage,1,NA
activities engages,1,NA
activities everyone,1,NA
activities promote,1,NA
activity assignment,1,NA
activity helps,1,NA
activity promotes,1,NA
activity transparency,1,NA
acutely interested,1,NA
ada accessibility,1,NA
ada lovelace,1,NA
adaptability allows,1,NA
adaptable active,1,NA
adapting games,1,NA
adding language,1,NA
addition diverse,1,NA
addition pedagogical,1,NA
addition recent,1,NA
addition self,1,NA
addition several,1,NA
addition use,1,NA
addition using,1,NA
additional benefits,1,NA
additional discussion,1,NA
additional diverse,1,NA
additional element,1,NA
additional information,1,NA
additional opportunities,1,NA
additional routes,1,NA
additional tutorials,1,NA
additional work,1,NA
additionally assigns,1,NA
additionally authentic,1,NA
additionally educational,1,NA
additionally encouraged,1,NA
additionally feedback,1,NA
additionally scientific,1,NA
additionally structured,1,NA
additionally visual,1,NA
address different,1,NA
address emerging,1,NA
address impacts,1,NA
address inclusive,1,NA
address inclusivity,1,NA
address misconceptions,1,NA
address parity,1,NA
address plant,1,NA
address puzzling,1,NA
address strategies,1,NA
address students,1,NA
addressed different,1,NA
addressed students,1,NA
addresses classroom,1,NA
addresses diversity,1,NA
addresses issues,1,NA
addresses one,1,NA
addresses racial,1,NA
adds value,1,NA
adjustment can,1,NA
advance personalized,1,NA
affect students,1,NA
affects members,1,NA
african americans,1,NA
african vertebrate,1,NA
age gender,1,NA
age race,1,NA
ages gender,1,NA
agricultural sciences,1,NA
aids students,1,NA
alaskan native,1,NA
allow alternatives,1,NA
allow equitable,1,NA
allow everyone,1,NA
allow individuals,1,NA
allow participation,1,NA
allowed opportunities,1,NA
allowing diverse,1,NA
allowing flexibility,1,NA
allowing individual,1,NA
allowing visually,1,NA
allows participants,1,NA
allows participation,1,NA
already economically,1,NA
also accommodating,1,NA
also address,1,NA
also foster,1,NA
also fostering,1,NA
also helps,1,NA
also identities,1,NA
also promotes,1,NA
also recommended,1,NA
also sharing,1,NA
also supported,1,NA
alt text,1,NA
alternate color,1,NA
alternate green,1,NA
alternate names,1,NA
alternative examples,1,NA
alternative exercises,1,NA
alternative formats,1,NA
alternative hands,1,NA
alternative may,1,NA
alternative means,1,NA
alternative perspectives,1,NA
alternative plans,1,NA
alternative viewpoints,1,NA
